id,cast,crew
820525,"[{'cast_id': 1753914, 'name': 'Josephine Langford', 'character': 'Tessa Young'}, {'cast_id': 1114487, 'name': 'Hero Fiennes Tiffin', 'character': 'Hardin Scott'}, {'cast_id': 1694711, 'name': 'Mimi Keene', 'character': 'Nathalie'}, {'cast_id': 2849483, 'name': 'Benjamin Mascolo', 'character': 'Sebastian'}, {'cast_id': 20805, 'name': 'Louise Lombard', 'character': 'Trish Daniels'}]","[{'crew_id': 1448492, 'name': 'Castille Landon', 'department': 'Directing', 'job': 'Director'}]"
1116875,"[{'cast_id': 1632213, 'name': 'Aubrey Reynolds', 'character': 'Brea Young'}, {'cast_id': 2516351, 'name': 'Olivia Buckle', 'character': 'Darcy Young'}, {'cast_id': 1751311, 'name': 'Jonathan Stoddard', 'character': 'Thomas Schure'}, {'cast_id': 1224370, 'name': 'Lindsay Hartley', 'character': 'Marta Baugh'}, {'cast_id': 2574248, 'name': 'Amanda Button', 'character': 'Amanda Dolenz'}]","[{'crew_id': 1224370, 'name': 'Lindsay Hartley', 'department': 'Directing', 'job': 'Director'}]"
497139,"[{'cast_id': 100553, 'name': 'Hyapatia Lee', 'character': 'Tasty'}, {'cast_id': 1610022, 'name': 'Gail Force', 'character': 'Creamy'}, {'cast_id': 1550682, 'name': 'Patti Petite', 'character': 'Sherry'}, {'cast_id': 1398768, 'name': 'Steve Powers', 'character': 'Dr. Fermento'}, {'cast_id': 1061221, 'name': 'Ashley Welles', 'character': 'Mrs. Conners'}]","[{'crew_id': 1026341, 'name': 'Bud Lee', 'department': 'Directing', 'job': 'Director'}]"
667538,"[{'cast_id': 1560244, 'name': 'Anthony Ramos', 'character': 'Noah Diaz'}, {'cast_id': 1676520, 'name': 'Dominique Fishback', 'character': 'Elena Wallace'}, {'cast_id': 141610, 'name': 'Luna Lauren Velez', 'character': 'Mrs. Diaz'}, {'cast_id': 2940842, 'name': 'Dean Scott Vazquez', 'character': ''}, {'cast_id': 3002060, 'name': 'Tobe Nwigwe', 'character': 'Reek'}]","[{'crew_id': 1551545, 'name': 'Steven Caple Jr.', 'department': 'Directing', 'job': 'Director'}]"
915520,"[{'cast_id': 60458, 'name': 'Liana Liberato', 'character': 'Sabina Geshem'}, {'cast_id': 20848, 'name': 'Rumer Willis', 'character': 'Alvy Bowman'}, {'cast_id': 21125, 'name': 'Richard Kind', 'character': 'Randall Abbott'}, {'cast_id': 1231115, 'name': 'Jordan Rodrigues', 'character': 'Ramsay Stranger'}, {'cast_id': 1085158, 'name': 'Stef Dawson', 'character': 'Celine'}]","[{'crew_id': 3346483, 'name': 'Todd Bogin', 'department': 'Directing', 'job': 'Director'}]"
666277,"[{'cast_id': 1260481, 'name': 'Greta Lee', 'character': 'Nora'}, {'cast_id': 1387126, 'name': 'Yoo Teo', 'character': 'Hae Sung'}, {'cast_id': 37154, 'name': 'John Magaro', 'character': 'Arthur'}, {'cast_id': 2135069, 'name': 'Jojo T. Gibbs', 'character': 'Janice'}, {'cast_id': 1412150, 'name': 'Emily Cass McDonnell', 'character': 'Rachel'}]","[{'crew_id': 2518227, 'name': 'Celine Song', 'department': 'Directing', 'job': 'Director'}]"
1113931,"[{'cast_id': 3154313, 'name': 'Gina Simms', 'character': 'Adeline'}, {'cast_id': 4013599, 'name': 'Summer Monet', 'character': 'Sophie'}, {'cast_id': 2497440, 'name': 'Brittney Q. Hill', 'character': 'Emilia'}, {'cast_id': 2120924, 'name': 'Rachel Walters', 'character': 'Lilliana'}, {'cast_id': 3510413, 'name': 'Isabelle Almoyan', 'character': 'Mia'}]","[{'crew_id': 57251, 'name': 'Linden Ashby', 'department': 'Directing', 'job': 'Director'}]"
1002317,"[{'cast_id': 3631816, 'name': 'Simon Athena', 'character': ''}, {'cast_id': 3631817, 'name': 'Joe Leung', 'character': ""Bodyshop's Staff Joe""}, {'cast_id': 3631818, 'name': 'Tank Liu', 'character': ''}, {'cast_id': 3072208, 'name': 'Daniel Benjamin', 'character': 'Daniel'}, {'cast_id': 1586516, 'name': 'Adonis He', 'character': ''}]","[{'crew_id': 134851, 'name': 'Scud', 'department': 'Directing', 'job': 'Director'}]"
1124708,"[{'cast_id': 2974019, 'name': 'Jelly Roll', 'character': 'Self'}, {'cast_id': 4021380, 'name': 'Bunnie DeFord', 'character': 'Self'}, {'cast_id': 4021378, 'name': 'Bailee Ann DeFord', 'character': 'Self'}, {'cast_id': 4022750, 'name': 'Jack Fowler', 'character': 'Self'}, {'cast_id': 4022751, 'name': 'Cody Ash', 'character': 'Self'}]","[{'crew_id': 1417477, 'name': 'Bari Pearlman', 'department': 'Directing', 'job': 'Director'}]"
238,"[{'cast_id': 1158, 'name': 'Al Pacino', 'character': 'Michael Corleone'}, {'cast_id': 3084, 'name': 'Marlon Brando', 'character': 'Vito Corleone'}, {'cast_id': 3085, 'name': 'James Caan', 'character': 'Sonny Corleone'}, {'cast_id': 3086, 'name': 'Richard S. Castellano', 'character': 'Peter Clemenza'}, {'cast_id': 3087, 'name': 'Robert Duvall', 'character': 'Tom Hagen'}]","[{'crew_id': 1776, 'name': 'Francis Ford Coppola', 'department': 'Directing', 'job': 'Director'}]"
