id,title,overview,video,original_language,popularity,release_date,vote_average,vote_count,genres,keywords
820525,After Everything,"The sequel to 'After Ever Happy' (2022), which was based on the 2015 novel of same title by Anna Todd, wherein Hardin and Tessa are separated.",False,en,21.529,2013-09-13,10.0,3,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]","[{'id': 9332, 'name': 'psychological abuse'}, {'id': 9663, 'name': 'sequel'}, {'id': 226325, 'name': 'dysfunctional relationship'}, {'id': 236377, 'name': 'emotional abuse'}, {'id': 241804, 'name': 'toxic relationship'}, {'id': 246466, 'name': 'based on young adult novel'}, {'id': 253056, 'name': 'fanfic'}]"
1116875,Falling for a Killer,"When Assistant DA Darcy Young, is invited to her estranged parents’ country home to meet her sister’s new fiance, Thomas Schure, she’s already dubious at the speed of the whirlwind romance, but as Thomas’s suspicious behavior begins to become increasingly more erratic, Darcy becomes convinced that Thomas is a danger to her entire family.",False,en,120.652,2023-04-21,10.0,3,"[{'id': 53, 'name': 'Thriller'}, {'id': 10770, 'name': 'TV Movie'}]",[]
497139,Tasty,Radio station manager Gary Connors threatens to fire all the disc jockeys who work for his station KNUT after a major advertiser says they will remove all of their ads unless the sagging ratings improve by the end of the week.  Sexy DJ Tasty Tastums and her fellow disc jockeys decide to rectify the situation by switching from playing rock music to broadcasting about various racy sex-related subject matter live on the air.,False,en,10.765,1985-04-18,10.0,1,"[{'id': 35, 'name': 'Comedy'}]","[{'id': 1224, 'name': 'radio station'}, {'id': 208930, 'name': 'radio dj'}, {'id': 254091, 'name': 'radio ratings'}, {'id': 254092, 'name': 'traffic report'}]"
667538,Transformers: Rise of the Beasts,"A '90s globetrotting adventure that introduces the Maximals, Predacons, and Terrorcons to the existing battle on earth between Autobots and Decepticons.",False,en,364.015,2023-06-06,10.0,1,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]","[{'id': 9951, 'name': 'alien'}, {'id': 10150, 'name': 'end of the world'}, {'id': 10244, 'name': 'based on cartoon'}, {'id': 10542, 'name': 'based on toy'}, {'id': 14544, 'name': 'robot'}, {'id': 210608, 'name': '1990s'}]"
915520,Hidden Exposure,"A recently jilted dancer follows her ex-boyfriend to his new home, where she insinuates herself into his new relationship.",False,en,10.451,2023-05-23,9.5,2,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]","[{'id': 242, 'name': 'new york city'}, {'id': 733, 'name': 'dancer'}, {'id': 848, 'name': 'double life'}, {'id': 12094, 'name': 'business'}, {'id': 14534, 'name': 'relationship'}, {'id': 187249, 'name': 'catskills'}, {'id': 236377, 'name': 'emotional abuse'}, {'id': 252204, 'name': 'revenge thriller'}]"
666277,Past Lives,"Nora and Hae Sung, two deeply connected childhood friends, are wrest apart after Nora’s family emigrates from South Korea. Two decades later, they are reunited in New York for one fateful week as they confront notions of destiny, love, and the choices that make a life.",False,en,33.767,2023-06-02,9.0,1,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","[{'id': 242, 'name': 'new york city'}, {'id': 802, 'name': 'regret'}, {'id': 2356, 'name': 'immigrant'}, {'id': 6054, 'name': 'friendship'}, {'id': 10131, 'name': 'interracial relationship'}, {'id': 10855, 'name': 'fate'}, {'id': 157955, 'name': 'childhood'}, {'id': 160246, 'name': 'childhood friends'}, {'id': 187056, 'name': 'woman director'}, {'id': 231519, 'name': 'korean american'}, {'id': 272877, 'name': 'korean'}, {'id': 280028, 'name': 'asian american'}]"
1113931,Nightmare Pageant Moms,"When Emilia and her daughter Sophie are left in an unexpected, dire financial situation, they discover an intriguing option to pay for Sophie’s college—entering a regional Mother[1]Daughter beauty pageant with a lucrative scholarship prize. But they don’t realize a competing mother-daughter team are willing to go to disturbing and dangerous lengths to win the crown.",False,en,19.914,2023-05-26,9.0,1,"[{'id': 10770, 'name': 'TV Movie'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",[]
1002317,Bodyshop,"The ghost of a young soldier, who bids farewell to his mother and travels the world to see his transgender sister. By possessing living bodies, he meddles with the romances of unfaithful lovers along the way in Taiwan, Japan, Spain and Thailand. He meets a soul mate amid the massive protests of Hong Kong and they take shelter in a disguised garage, where human bodies are treated in a way beyond moral limits.",False,en,38.189,2022-09-19,9.0,1,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}]",[]
1124708,Jelly Roll: Save Me,"An inside look as the 38-year-old prepares to perform at the famed Bridgestone Arena in his hometown of Nashville, featuring never-before-seen tour footage and interviews with the musician and those closest to him.  It also shows how Jelly Roll balances life on tour with philanthropic work, including a visit to a juvenile detention facility where he was incarcerated multiple times to share his story in the hopes of inspiring positive change in others.",False,en,38.371,2023-05-30,9.0,1,"[{'id': 99, 'name': 'Documentary'}, {'id': 10402, 'name': 'Music'}, {'id': 10770, 'name': 'TV Movie'}]","[{'id': 727, 'name': 'country music'}, {'id': 898, 'name': 'hip-hop'}, {'id': 4562, 'name': 'rapper'}, {'id': 6335, 'name': 'tennessee'}, {'id': 164734, 'name': 'nashville tennessee'}, {'id': 174258, 'name': 'juvenile detention center'}, {'id': 206191, 'name': 'stardom'}, {'id': 229800, 'name': 'incarceration'}, {'id': 243282, 'name': 'road to stardom'}, {'id': 258192, 'name': 'nashville'}, {'id': 274239, 'name': 'country'}]"
238,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",False,en,101.793,1972-03-14,8.7,18012,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]","[{'id': 131, 'name': 'italy'}, {'id': 697, 'name': 'loss of loved one'}, {'id': 699, 'name': 'love at first sight'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 1295, 'name': 'europe'}, {'id': 1715, 'name': 'symbolism'}, {'id': 4677, 'name': 'patriarch'}, {'id': 10291, 'name': 'organized crime'}, {'id': 10391, 'name': 'mafia'}, {'id': 10909, 'name': 'lawyer'}, {'id': 11001, 'name': 'religion'}, {'id': 15095, 'name': 'revenge motive'}, {'id': 33421, 'name': 'crime family'}, {'id': 155538, 'name': 'sicilian mafia'}, {'id': 156043, 'name': 'religious hypocrisy'}, {'id': 163656, 'name': 'gun violence'}, {'id': 165725, 'name': 'rise to power'}, {'id': 180173, 'name': 'dead horse'}, {'id': 181858, 'name': 'gang violence'}, {'id': 207883, 'name': '1940s'}, {'id': 208611, 'name': '1950s'}, {'id': 257630, 'name': 'mafia war'}, {'id': 295351, 'name': 'part of trilogy'}]"
278,The Shawshank Redemption,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",False,en,83.049,1994-09-23,8.7,23856,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]","[{'id': 378, 'name': 'prison'}, {'id': 417, 'name': 'corruption'}, {'id': 796, 'name': 'police brutality'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 2885, 'name': 'prison cell'}, {'id': 4779, 'name': 'delinquent'}, {'id': 8622, 'name': 'parole board'}, {'id': 9777, 'name': 'prison escape'}, {'id': 12662, 'name': 'wrongful imprisonment'}, {'id': 180172, 'name': 'framed for murder'}, {'id': 207883, 'name': '1940s'}, {'id': 236369, 'name': 'voiceover'}]"
240,The Godfather Part II,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",False,en,63.559,1974-12-20,8.6,10877,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]","[{'id': 131, 'name': 'italy'}, {'id': 700, 'name': 'italian american'}, {'id': 701, 'name': 'cuba'}, {'id': 1715, 'name': 'symbolism'}, {'id': 3149, 'name': 'gangster'}, {'id': 4232, 'name': 'melancholy'}, {'id': 6049, 'name': 'praise'}, {'id': 9748, 'name': 'revenge'}, {'id': 10291, 'name': 'organized crime'}, {'id': 10391, 'name': 'mafia'}, {'id': 10909, 'name': 'lawyer'}, {'id': 14632, 'name': 'suburb'}, {'id': 156024, 'name': 'corrupt politician'}]"
424,Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,False,en,44.702,1993-12-15,8.6,14110,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]","[{'id': 818, 'name': 'based on novel or book'}, {'id': 1382, 'name': 'factory'}, {'id': 1631, 'name': 'concentration camp'}, {'id': 1701, 'name': 'hero'}, {'id': 1739, 'name': 'holocaust (shoah)'}, {'id': 1799, 'name': 'ss (nazi schutzstaffel)'}, {'id': 1956, 'name': 'world war ii'}, {'id': 2394, 'name': 'ghetto'}, {'id': 2433, 'name': 'jew persecution'}, {'id': 2446, 'name': 'kraków, poland'}, {'id': 2450, 'name': 'auschwitz-birkenau concentration camp'}, {'id': 2456, 'name': 'industrialist'}, {'id': 2652, 'name': 'nazi'}, {'id': 3599, 'name': 'defense industry'}, {'id': 5565, 'name': 'biography'}, {'id': 9672, 'name': 'based on true story'}, {'id': 12995, 'name': 'historical fiction'}, {'id': 13008, 'name': 'train'}, {'id': 21747, 'name': 'poland'}, {'id': 234812, 'name': 'weapons manufacturer'}]"
373558,Taylor Swift: The 1989 World Tour - Live,"Filmed in front of 76,000 fans at the ANZ Stadium in Sydney, Australia, ""The 1989 World Tour Live"" captures Taylor Swift's entire performance while also mixing in behind-the-scene, rehearsal, and special guest footage from her 1989 Tour.",False,en,11.255,2015-12-20,8.6,118,"[{'id': 10402, 'name': 'Music'}, {'id': 99, 'name': 'Documentary'}]","[{'id': 1740, 'name': 'pop culture'}, {'id': 2032, 'name': 'pop singer'}, {'id': 3490, 'name': 'pop star'}, {'id': 6029, 'name': 'concert'}, {'id': 10229, 'name': 'singer'}, {'id': 33922, 'name': 'pop music'}, {'id': 156205, 'name': 'concert film'}, {'id': 315513, 'name': 'the 1989 world tour'}]"
