id,title,overview,genres,keywords
603692,John Wick: Chapter 4,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.","[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]","[{'id': 242, 'name': 'new york city'}, {'id': 779, 'name': 'martial arts'}, {'id': 2708, 'name': 'hitman'}, {'id': 9663, 'name': 'sequel'}, {'id': 10291, 'name': 'organized crime'}, {'id': 10642, 'name': 'osaka, japan'}, {'id': 179430, 'name': 'aftercreditsstinger'}, {'id': 181644, 'name': 'hunted'}, {'id': 206041, 'name': 'professional assassin'}, {'id': 207268, 'name': 'neo-noir'}, {'id': 312965, 'name': 'berlin'}]"
502356,The Super Mario Bros. Movie,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.","[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}]","[{'id': 282, 'name': 'video game'}, {'id': 690, 'name': 'gorilla'}, {'id': 1878, 'name': 'plumber'}, {'id': 9696, 'name': 'magic mushroom'}, {'id': 11477, 'name': 'anthropomorphism'}, {'id': 41645, 'name': 'based on video game'}, {'id': 172242, 'name': 'toad'}, {'id': 179430, 'name': 'aftercreditsstinger'}, {'id': 179431, 'name': 'duringcreditsstinger'}, {'id': 188294, 'name': 'damsel in distress'}, {'id': 207592, 'name': 'piano'}, {'id': 227035, 'name': 'white gloves'}, {'id': 243959, 'name': 'brother brother relationship'}]"
385687,Fast X,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.","[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]","[{'id': 9663, 'name': 'sequel'}, {'id': 9748, 'name': 'revenge'}, {'id': 10039, 'name': 'racing'}, {'id': 18035, 'name': 'family'}, {'id': 179431, 'name': 'duringcreditsstinger'}, {'id': 286354, 'name': 'cars'}]"
447277,The Little Mermaid,"The youngest of King Triton’s daughters, and the most defiant, Ariel longs to find out more about the world beyond the sea, and while visiting the surface, falls for the dashing Prince Eric. With mermaids forbidden to interact with humans, Ariel makes a deal with the evil sea witch, Ursula, which gives her a chance to experience life on land, but ultimately places her life – and her father’s crown – in jeopardy.","[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]","[{'id': 4344, 'name': 'musical'}, {'id': 5938, 'name': 'mermaid'}, {'id': 179411, 'name': 'based on fairy tale'}, {'id': 245230, 'name': 'live action remake'}]"
713704,Evil Dead Rise,Three siblings find an ancient vinyl that gives birth to bloodthirsty demons that run amok in a Los Angeles apartment building and thrusts them into a primal battle for survival as they face the most nightmarish version of family imaginable.,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]","[{'id': 380, 'name': 'sibling relationship'}, {'id': 3521, 'name': 'earthquake'}, {'id': 3725, 'name': 'pregnancy'}, {'id': 9663, 'name': 'sequel'}, {'id': 10292, 'name': 'gore'}, {'id': 12670, 'name': 'los angeles, california'}, {'id': 15001, 'name': 'demon'}, {'id': 156075, 'name': 'evil'}, {'id': 157466, 'name': 'necronomicon'}, {'id': 161184, 'name': 'reboot'}, {'id': 161261, 'name': 'demonic possession'}, {'id': 176227, 'name': 'motherhood'}, {'id': 210281, 'name': 'sisterhood'}, {'id': 241738, 'name': 'sister sister relationship'}, {'id': 283085, 'name': 'body horror'}, {'id': 286239, 'name': 'apartment'}, {'id': 296359, 'name': 'graphic violence'}, {'id': 318080, 'name': 'evil mom'}]"
640146,Ant-Man and the Wasp: Quantumania,"Super-Hero partners Scott Lang and Hope van Dyne, along with with Hope's parents Janet van Dyne and Hank Pym, and Scott's daughter Cassie Lang, find themselves exploring the Quantum Realm, interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible.","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]","[{'id': 1701, 'name': 'hero'}, {'id': 3126, 'name': 'ant'}, {'id': 9663, 'name': 'sequel'}, {'id': 9715, 'name': 'superhero'}, {'id': 9717, 'name': 'based on comic'}, {'id': 18035, 'name': 'family'}, {'id': 155030, 'name': 'superhero team'}, {'id': 179430, 'name': 'aftercreditsstinger'}, {'id': 179431, 'name': 'duringcreditsstinger'}, {'id': 180547, 'name': 'marvel cinematic universe (mcu)'}]"
447365,Guardians of the Galaxy Vol. 3,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.","[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]","[{'id': 1701, 'name': 'hero'}, {'id': 9663, 'name': 'sequel'}, {'id': 9715, 'name': 'superhero'}, {'id': 9717, 'name': 'based on comic'}, {'id': 10125, 'name': 'mad scientist'}, {'id': 155030, 'name': 'superhero team'}, {'id': 161176, 'name': 'space opera'}, {'id': 162881, 'name': 'raccoon'}, {'id': 179430, 'name': 'aftercreditsstinger'}, {'id': 179431, 'name': 'duringcreditsstinger'}, {'id': 180547, 'name': 'marvel cinematic universe (mcu)'}, {'id': 231295, 'name': 'cosmic'}, {'id': 252634, 'name': 'outer space'}, {'id': 267488, 'name': 'chosen family'}]"
605886,To Catch a Killer,Baltimore. New Year's Eve. A talented but troubled police officer is recruited by the FBI's chief investigator to help profile and track down a mass murderer.,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]","[{'id': 613, 'name': ""new year's eve""}, {'id': 1583, 'name': 'mass murder'}, {'id': 1812, 'name': 'fbi'}, {'id': 5340, 'name': 'investigation'}, {'id': 11547, 'name': 'slaughterhouse'}, {'id': 239258, 'name': 'mass killing'}, {'id': 254921, 'name': 'homicide investigation'}, {'id': 273310, 'name': 'federal bureau of investigation'}, {'id': 314349, 'name': 'baltimore, maryland'}]"
76600,Avatar: The Way of Water,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.","[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]","[{'id': 697, 'name': 'loss of loved one'}, {'id': 3737, 'name': 'dying and death'}, {'id': 4862, 'name': 'alien life-form'}, {'id': 6506, 'name': 'resurrection'}, {'id': 9663, 'name': 'sequel'}, {'id': 10041, 'name': 'dysfunctional family'}, {'id': 10158, 'name': 'alien planet'}, {'id': 11239, 'name': 'distant future'}, {'id': 185927, 'name': 'adopted child'}, {'id': 194421, 'name': 'rebirth'}, {'id': 205734, 'name': 'family dynamics'}, {'id': 209051, 'name': 'adopted son'}, {'id': 219826, 'name': 'stronger villain'}, {'id': 273967, 'name': 'war'}]"
758323,The Pope's Exorcist,"Father Gabriele Amorth, Chief Exorcist of the Vatican, investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden.","[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","[{'id': 514, 'name': 'spain'}, {'id': 588, 'name': 'rome, italy'}, {'id': 716, 'name': 'vatican'}, {'id': 717, 'name': 'pope'}, {'id': 4931, 'name': 'pig'}, {'id': 9712, 'name': 'possession'}, {'id': 10410, 'name': 'conspiracy'}, {'id': 14999, 'name': 'devil'}, {'id': 159940, 'name': 'exorcist'}, {'id': 161198, 'name': 'skepticism'}, {'id': 172391, 'name': 'catholic priest'}, {'id': 208289, 'name': '1980s'}, {'id': 256183, 'name': 'supernatural horror'}]"
552688,The Mother,"A deadly female assassin comes out of hiding to protect the daughter that she gave up years before, while on the run from dangerous men.","[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]","[{'id': 12367, 'name': 'female assassin'}, {'id': 187056, 'name': 'woman director'}, {'id': 266503, 'name': 'mother and daughter'}]"
594767,Shazam! Fury of the Gods,"Billy Batson and his foster siblings, who transform into superheroes by saying ""Shazam!"", are forced to get back into action and fight the Daughters of Atlas, who they must stop from using a weapon that could destroy the world.","[{'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]","[{'id': 9715, 'name': 'superhero'}, {'id': 10150, 'name': 'end of the world'}, {'id': 33637, 'name': 'super power'}, {'id': 179430, 'name': 'aftercreditsstinger'}, {'id': 179431, 'name': 'duringcreditsstinger'}, {'id': 229266, 'name': 'dc extended universe (dceu)'}, {'id': 296608, 'name': 'teenager'}]"
882569,Guy Ritchie's The Covenant,"During the war in Afghanistan, a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain.","[{'id': 10752, 'name': 'War'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]","[{'id': 502, 'name': 'ambush'}, {'id': 2297, 'name': 'interpreter'}, {'id': 3541, 'name': 'afghanistan'}, {'id': 7158, 'name': 'afghanistan war (2001- )'}, {'id': 10084, 'name': 'rescue'}, {'id': 273967, 'name': 'war'}]"
677179,Creed III,"After dominating the boxing world, Adonis Creed has been thriving in both his career and family life. When a childhood friend and former boxing prodigy, Damian Anderson, resurfaces after serving a long sentence in prison, he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score, Adonis must put his future on the line to battle Damian — a fighter who has nothing to lose.","[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]","[{'id': 276, 'name': 'philadelphia, pennsylvania'}, {'id': 1157, 'name': 'husband wife relationship'}, {'id': 1643, 'name': 'deaf'}, {'id': 6075, 'name': 'sports'}, {'id': 9663, 'name': 'sequel'}, {'id': 13014, 'name': 'orphan'}, {'id': 41368, 'name': 'former best friend'}, {'id': 156121, 'name': 'ex-con'}, {'id': 160246, 'name': 'childhood friends'}, {'id': 174258, 'name': 'juvenile detention center'}, {'id': 209476, 'name': 'boxing'}, {'id': 228041, 'name': 'prodigy'}]"
